package_name,title_de,maintainer,maintainer_email,issued,modified,license,keywords_de
waldbrandgefahr,Waldbrandgefahr,info@bafu.admin.ch,,2023-03-15T00:00:00,2026-07-20T13:14:08+00:00,,
karte-der-aktuellen-erdbeben-letzte-90-tage-in-der-schweiz-und-im-grenznahen-ausland,Karte der aktuellen Erdbeben (letzte 90 Tage) in der Schweiz und im grenznahen Ausland,sedweb@sed.ethz.ch,,2016-11-01T00:00:00,,,"erdbeben,landsat,gebiete-mit-naturbedingten-risiken,bgdi-bundesgeodaten-infrastruktur"
magnetfeldbelastung-elektrische-anlagen-modelliert,Magnetfeldbelastung durch elektrische Anlagen (modelliert),noise@bafu.admin.ch,,2026-04-15T00:00:00,,,"e-geoch,aufbewahrungs--und-archivierungsplanung-aap---bund,nichtionisierende-strahlung,energiebedingte-umweltbelastung,elektrosmog,strahlung,umwelt,hochspannungsleitung,elektrizitat,magnetismus,gesundheit-und-sicherheit"
quellen-und-schwinden-in-karstgebieten,Quellen und Schwinden in Karstgebieten,hydrogeologie@bafu.admin.ch,,2016-03-01T00:00:00,,,"grundwasser,quelle,karstgebiet,hydrogeologie,umwelt"
waldbrandpraventionsmassnahmen,Waldbrandpräventionsmassnahmen,info@bafu.admin.ch,,2023-03-15T00:00:00,2026-07-18T10:14:11+00:00,,
schweizweite-hinweiskarten-des-lichtbedingten-verjungungspotentials-stand-lfi-vhm-2024,Schweizweite Hinweiskarten des lichtbedingten Verjüngungspotentials (Stand LFI VHM 2024),remotesensing@wsl.ch,,2026-05-21T00:00:00,,,"waldentwicklung,waldnutzung,fise-forest-information-system-for-europe,aufbewahrungs--und-archivierungsplanung-aap---bund,airborne-laser-scanning,bgdi-bundesgeodaten-infrastruktur,licht,wald,waldbestand,bgdi-bundesgeodaten-infrastruktur"
co2-emissionen-aus-brennstoffen-witterungsbereinigt-und-treibstoffen,CO2-Emissionen aus Brennstoffen (witterungsbereinigt) und Treibstoffen,climatereporting@bafu.admin.ch,,2022-10-21T00:00:00,2026-07-13T08:46:22.818000+00:00,,
anteile-der-treibhausgasemissionen-aus-treibstoffen-im-sektor-verkehr,Anteile der Treibhausgasemissionen aus Treibstoffen im Sektor Verkehr,climatereporting@bafu.admin.ch,,2022-09-29T00:00:00,2026-07-13T08:45:45.045000+00:00,,
diffuse-gesamt-stickstoffeintrage-in-die-gewasser,Diffuse Gesamt-Stickstoffeinträge in die Gewässer,wasser@bafu.admin.ch,,2015-07-01T00:00:00,2023-01-01T00:00:00,,"stickstoff,landwirtschaft,bgdi-bundesgeodaten-infrastruktur,gewasser"
naturlicher-wasserhaushalt-der-ganzen-schweiz-und-bedeutender-grosseinzugsgebiete,Natürlicher Wasserhaushalt der ganzen Schweiz und bedeutender Grosseinzugsgebiete,hydrologie@bafu.admin.ch,,,2024-12-31T00:00:00,,wasser
