package_name,resource_id,title_de,format,url,media_type,issued,modified,license,has_stac,is_service
waldbrandpraventionsmassnahmen,8b7a1918-b2de-44fd-ab1e-3d04cdb56a43,SPARQL Endpoint mit Vorauswahl des Graph,SPARQL,https://lindas.admin.ch/sparql#query=PREFIX%20schema%3A%20%3Chttp%3A%2F%2Fschema.org%2F%3E%0ADESCRIBE%20%3Fcube%0A%0AFROM%20%3Chttps%3A%2F%2Flindas.admin.ch%2Ffoen%2Fgefahren-waldbrand-praeventionsmassnahmen-kantone%3E%0AWHERE%20%7B%0A%09%20%20%3Chttps%3A%2F%2Fenvironment.ld.admin.ch%2Ffoen%2Fgefahren-waldbrand-praeventionsmassnahmen-kantone%3E%20schema%3AhasPart%20%3Fcube%20.%0A%09%20%20%3Fcube%20schema%3Aversion%201%20.%0A%7D%0A&endpoint=https%3A%2F%2Flindas.admin.ch%2Fquery,application/sparql-query,2023-03-15T00:00:00,,terms_by,false,false
waldbrandpraventionsmassnahmen,21f2bee4-db4b-41d2-be5f-d7475d38f60c,visualize.admin.ch,HTML,https://visualize.admin.ch/en/browse?dataset=https%3A%2F%2Fenvironment.ld.admin.ch%2Ffoen%2Fgefahren-waldbrand-praeventionsmassnahmen-kantone%2F1&dataSource=Prod,text/html,2023-03-15T00:00:00,,terms_by,false,false
waldbrandgefahr,9f8f3e6d-8123-460e-a1ef-f7e7397791de,SPARQL Endpoint mit Vorauswahl des Graph,SPARQL,https://lindas.admin.ch/sparql#query=PREFIX%20schema%3A%20%3Chttp%3A%2F%2Fschema.org%2F%3E%0A%0ADESCRIBE%20%3Fcube%0A%0AFROM%20%3Chttps%3A%2F%2Flindas.admin.ch%2Ffoen%2Fgefahren-waldbrand-warnung%3E%0AWHERE%20%7B%0A%20%20%20%20%20%20%3Chttps%3A%2F%2Fenvironment.ld.admin.ch%2Ffoen%2Fgefahren-waldbrand-warnung%3E%20schema%3AhasPart%20%3Fcube%20.%0A%20%20%20%20%20%20%3Fcube%20schema%3Aversion%201%20.%0A%7D%0A%0A&endpoint=https%3A%2F%2Flindas.admin.ch%2Fquery,application/sparql-query,2023-03-15T00:00:00,,terms_by,false,false
waldbrandgefahr,cc93c630-8f81-4179-abc1-99b2e334a860,visualize.admin.ch,HTML,https://visualize.admin.ch/en/browse?dataset=https%3A%2F%2Fenvironment.ld.admin.ch%2Ffoen%2Fgefahren-waldbrand-warnung%2F1&dataSource=Prod,text/html,2023-03-15T00:00:00,,terms_by,false,false
schweizerischer-nationalpark,494a2cac-25be-404e-acbf-9254082934b1,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.schutzgebiete-schweizerischer_nationalpark,text/html,2001-01-17T00:00:00,2001-01-17T00:00:00,terms_by,false,false
schweizerischer-nationalpark,0b12eec4-089f-41eb-9087-8559ccd7c821,ch.bafu.schutzgebiete-schweizerischer_nationalpark,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2001-01-17T00:00:00,2001-01-17T00:00:00,terms_by,false,false
schweizerischer-nationalpark,3c90b7eb-b950-47b2-9857-13e7a3e99f5f,ch.bafu.schutzgebiete-schweizerischer_nationalpark,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2001-01-17T00:00:00,2001-01-17T00:00:00,terms_by,false,false
schweizerischer-nationalpark,95154fc9-aec2-45c4-aef9-912539ca068a,,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.schutzgebiete-schweizerischer_nationalpark,,2001-01-17T00:00:00,2001-01-17T00:00:00,terms_by,true,false
biospharenreservate,112fb40a-d7fd-405b-82c0-ebb2f7dba902,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.schutzgebiete-biosphaerenreservate,text/html,2017-01-01T00:00:00,,terms_open,false,false
biospharenreservate,e2cd3c10-14a6-48b9-93cc-bad2e68fda3f,ch.bafu.schutzgebiete-biosphaerenreservate,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2017-01-01T00:00:00,,terms_open,false,false
biospharenreservate,568ad59d-e8ed-45c9-ad30-369f1b8552e7,ch.bafu.schutzgebiete-biosphaerenreservate,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2017-01-01T00:00:00,,terms_open,false,false
biospharenreservate,c15d3190-07d8-44c6-a8e7-9ee43e1cc0a2,STAC Browser,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.schutzgebiete-biosphaerenreservate/items/schutzgebiete-biosphaerenreservate,,2017-01-01T00:00:00,,terms_open,true,false
biospharenreservate,d5fac651-a4b7-4c8c-82bd-efeaf6854e18,BAFU Website,OCTET,https://www.bafu.admin.ch/bafu/de/home/zustand/daten/geodaten/landschaft--geodaten.html,,2017-01-01T00:00:00,,terms_open,false,false
