package_name,resource_id,title_de,format,url,media_type,issued,modified,license,has_stac,is_service,snapshot_date
waldbrandgefahr,9f8f3e6d-8123-460e-a1ef-f7e7397791de,SPARQL Endpoint mit Vorauswahl des Graph,SPARQL,https://lindas.admin.ch/sparql#query=PREFIX%20schema%3A%20%3Chttp%3A%2F%2Fschema.org%2F%3E%0A%0ADESCRIBE%20%3Fcube%0A%0AFROM%20%3Chttps%3A%2F%2Flindas.admin.ch%2Ffoen%2Fgefahren-waldbrand-warnung%3E%0AWHERE%20%7B%0A%20%20%20%20%20%20%3Chttps%3A%2F%2Fenvironment.ld.admin.ch%2Ffoen%2Fgefahren-waldbrand-warnung%3E%20schema%3AhasPart%20%3Fcube%20.%0A%20%20%20%20%20%20%3Fcube%20schema%3Aversion%201%20.%0A%7D%0A%0A&endpoint=https%3A%2F%2Flindas.admin.ch%2Fquery,application/sparql-query,2023-03-15T00:00:00,,terms_by,False,False,2026-06-16
waldbrandgefahr,cc93c630-8f81-4179-abc1-99b2e334a860,visualize.admin.ch,HTML,https://visualize.admin.ch/en/browse?dataset=https%3A%2F%2Fenvironment.ld.admin.ch%2Ffoen%2Fgefahren-waldbrand-warnung%2F1&dataSource=Prod,text/html,2023-03-15T00:00:00,,terms_by,False,False,2026-06-16
magnetfeldbelastung-elektrische-anlagen-modelliert,47c4c0b0-b5c2-4f13-9d46-110cf963ecd6,Data Platform,OCTET,https://data.bafu.admin.ch/,,2026-04-15T00:00:00,,terms_by,False,False,2026-06-16
uberschwemmungsgebiete-aquaprotect-wiederkehrperiode-500-jahre,db8c93ce-93d8-40ac-88e0-aac519e41273,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.aquaprotect_500,text/html,2008-12-18T00:00:00,,terms_open,False,False,2026-06-16
uberschwemmungsgebiete-aquaprotect-wiederkehrperiode-500-jahre,c386b438-c8fd-4f66-ace7-b92188c2b227,ch.bafu.aquaprotect_500,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2008-12-18T00:00:00,,terms_open,False,False,2026-06-16
uberschwemmungsgebiete-aquaprotect-wiederkehrperiode-500-jahre,1f2e0d17-562f-4817-8aff-a9f9a61e2942,ch.bafu.aquaprotect_500,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2008-12-18T00:00:00,,terms_open,False,False,2026-06-16
uberschwemmungsgebiete-aquaprotect-wiederkehrperiode-500-jahre,32466d70-6a2f-48f6-93f3-3009c17745fd,Bestellformular für Daten Aquaprotect,OCTET,https://www.bafu.admin.ch/bafu/de/home/themen/naturgefahren/gefahrengrundlagen/naturgefahren-karten/aquaprotect/bestellformular-fuer-daten-aquaprotect.html,,2008-12-18T00:00:00,,terms_open,False,False,2026-06-16
nationales-okologisches-netzwerk-ren-lebensraum-wald,b29e0ff7-1d20-406a-a62d-057006169b9d,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.ren-wald,text/html,2011-02-14T00:00:00,2011-02-14T00:00:00,terms_open,False,False,2026-06-16
nationales-okologisches-netzwerk-ren-lebensraum-wald,d4c28548-0c87-41ea-911a-fc97c501cdf5,ch.bafu.ren-wald,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2011-02-14T00:00:00,2011-02-14T00:00:00,terms_open,False,False,2026-06-16
nationales-okologisches-netzwerk-ren-lebensraum-wald,50af83bd-1044-40bf-b117-768f6ca65ca6,ch.bafu.ren-wald,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2011-02-14T00:00:00,2011-02-14T00:00:00,terms_open,False,False,2026-06-16
nationales-okologisches-netzwerk-ren-lebensraum-wald,6869c7e9-1417-4bd9-a7c0-df902ac9dee6,STAC Browser,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.ren-extensive_landwirtschaftsgebiete/items/ren-extensive_landwirtschaftsgebiete,,2011-02-14T00:00:00,2011-02-14T00:00:00,terms_open,True,False,2026-06-16
nationales-okologisches-netzwerk-ren-lebensraum-wald,cbbc53c1-3862-4aef-becd-e70e597548ef,BAFU Website,OCTET,https://www.bafu.admin.ch/bafu/de/home/zustand/daten/geodaten/biodiversitaet--geodaten.html#-184504729,,2011-02-14T00:00:00,2011-02-14T00:00:00,terms_open,False,False,2026-06-16
uberschreitung-der-kritischen-eintragsgrenzen-critical-loads-fur-stickstoff,434ba5ac-cd8c-48c9-8e7e-5c8a32da110d,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.luftreinhaltung-stickstoff_kritischer_eintrag,text/html,2022-08-15T00:00:00,2022-08-15T00:00:00,terms_open,False,False,2026-06-16
uberschreitung-der-kritischen-eintragsgrenzen-critical-loads-fur-stickstoff,bc61df25-010b-43c5-ad35-083c37ed6c2e,ch.bafu.luftreinhaltung-stickstoff_kritischer_eintrag,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2022-08-15T00:00:00,2022-08-15T00:00:00,terms_open,False,False,2026-06-16
uberschreitung-der-kritischen-eintragsgrenzen-critical-loads-fur-stickstoff,613dc768-1725-4782-a61f-cb26184610ae,ch.bafu.luftreinhaltung-stickstoff_kritischer_eintrag,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2022-08-15T00:00:00,2022-08-15T00:00:00,terms_open,False,False,2026-06-16
uberschreitung-der-kritischen-eintragsgrenzen-critical-loads-fur-stickstoff,0e74f40d-6255-4445-a438-9b7a5b533c7a,STAC Browser,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.luftreinhaltung-stickstoff_kritischer_eintrag,,2022-08-15T00:00:00,2022-08-15T00:00:00,terms_open,True,False,2026-06-16
